Year,Section,Topic,Question,Marks,Answers
2015,Section B,General History,(a) What was the ‘Afghan Miracle’?,4,"USSR’s invasion of Afghanistan in 1979 led to an immediate impact on Pakistan’s
relationship with other countries. Zia was seen as leader of a Muslim nation on the frontline
against communist forces. Economic and military support came from the West and Pakistan
became an important base against the Soviets. Pakistan became a leading country in world
politics and this led to huge sums of money coming into the country to pay for the care of
refugees and the armed forces. Zia was able to use some of the funds to make economic
progress and reform the economy. "
2015,Section B,General History,(b) Why was Islamabad chosen as the new capital of Pakistan?,7,"Government officials would be moved well away from the commercial districts of Karachi that
might have some unwanted influences on them. It was also seen as an appropriate
movement of the power base from the industrially and commercially developed south to the
underdeveloped Punjab region in the north. Ayub Khan wanted to be closer to the army’s
command headquarters in the north which he saw as vital in times of martial law. Karachi
had a very warm and humid climate and, as a port, it wasn’t felt that it represented the needs
of a capital city as the existing buildings were not adequate in number or up to the standards
required by a capital. The layout and structure of the existing port city did not allow it to take
on the functions of a modern capital. With its position on the coast, it was considered
vulnerable to attacks from the Arabian Sea. The vast influx of refugees intensified the
existing problems and created new ones. "
2015,Section B,Independence and Partition,(c) How successful was Pakistan in its relationship with the U.S.A. between 1947 and 1999? Explain your answer.,14,"Liaquat Ali Khan visits the United States. Pakistan is willing to join the US in an anti-communism pact in return for military aid. Pakistan joins SEATO and CENTO. Substantial military and economic aid is provided to Pakistan, amounting to $4.2 billion, making it the third highest recipient of US aid. Bhutto visits the US. Clinton restores sales of aircraft in return for Pakistan stopping the production of weapons-grade uranium. Bhutto visits the US and gains $388 million in military equipment. First Lady Hillary Clinton visits Pakistan. The US provides military aid to India during its war with China, placing strain on relations. Pakistan turns to China for friendship. The US places an arms embargo on India and Pakistan during their war, badly affecting Pakistan. Bhutto leaves SEATO. American aid is suspended and later suspended again. US aid falls dramatically, creating problems for Benazir Bhutto. US President George Bush blocks aid to Pakistan due to nuclear weapons. The US comes close to declaring Pakistan a state sponsor of terrorism and places economic sanctions on the country. The US condemns Pakistan’s nuclear weapons tests."
2015,Section B,Kashmir Dispute,(a) What has been the importance of the Siachen Glacier to both India and Pakistan?,4,"1977 Indian colonel Kumar first climbed the glacier. Returned in 1981. Pakistan discovered
that Indians had been there and decided to defend its interests before India claimed the
glacier, especially as the border in that part of Kashmir had never been drawn properly.
When Pakistan soldiers moved up to the glacier they discovered 300 Indian troops there.
This meant that both sets of troops had to stay there as the glacier was an important symbol
to both sides. Pakistan tried several times to remove the Indian troops from there without
success. In 1987 Musharraf led one of these assaults. In 1989 Bhutto visited the glacier to
reinforce Pakistan’s view of it. No official figures exist of the death toll on the glacier with
estimates between 3000 and 5000, but many of these have probably been due to
avalanches and falls. No settlement has been reached, even though several meetings have
been held to discuss the situation since 1989. "
2015,Section B,General History,(b) Explain why General Musharraf was able to gain power in 1999.,7,"Sharif was giving support for the Taliban in Afghanistan and this damaged relations with USA
as they refused to hand over Osama bin Laden, suspected of bombing of US embassy in
Kenya. Pakistan also tested nuclear weapons which angered a number of countries which
then halted aid to Pakistan and brought Sharif much criticism. He also blamed Musharraf for
the embarrassing retreat from the fighting in Kashmir. The army refused to accept this
criticism. Sharif tried to sack Musharraf whilst he was visiting Sri Lanka and as a result the
army decided to intervene in the government and overthrew Sharif. "
2015,Section B,Zulfiqar Ali Bhutto,(c) How successful were Zulfiqar Ali Bhutto’s domestic policies between 1971 and 1977? Explain your answer.,14,"A new constitution drawn up in 1973 established a Senate which offered the opportunity for
professionals, academics and specialists to work together. It also safeguarded the interests
of minority provinces which now had equal status in the Senate. He produced the 1973
Constitution in an attempt to return to a form of parliamentary democracy and it was
important since it is the basis upon which Pakistan has been governed to the end of the 20th
century, apart from when it was suspended due to martial law.
He also tried to improve the infant mortality and age expectancy rates by introducing Rural
Health Centres and Basic Health Units. Pharmaceutical companies were banned from
charging for a particular medical brand name and so medicines became cheaper.
Amongst Bhutto’s education reforms, free primary education was introduced. New schools
were to be built and all private sector schools were nationalised. The aim was to increase the
literacy rate and raise academic standards. One of the main weaknesses of the new constitution was that the focal point of political
power lay with the party leadership and Bhutto in particular. When things went wrong, Bhutto
was blamed.
Banning pharmaceutical companies from charging for a medical brand and making
medicines cheaper did see the profits of chemists fall drastically and as a result many
international drug companies closed down their operations in Pakistan.
The changes in education led to overcrowding in existing schools while new ones were built.
The reforms were not very successful since the building of new schools and the recruitment
of new teachers could not be achieved quickly and was also very expensive. Many families
resented the reforms since it meant a loss of earnings for them. "
2016,Section A,General History,"(a) According to Source A, what problems were caused by Cyclone Bhola in 1970?",3,"It destroyed villages and crops. Nearly 1 million people died. 85% of the area was destroyed.
3 months later 75% of population were receiving food from aid workers. There were ill
feelings towards West Pakistan over the amount of aid "
2016,Section A,General History,(b) What does Source B tell us about the outcome of the conflict between East Pakistan and West Pakistan?,5,"It suggests that the ending of the conflict was an important event because there
are military men of high rank witnessing the signing of a peace treaty. The
source shows that the Indian army had become involved in the conflict. The end
of the conflict led to the formation of Bangladesh. The source suggests that this
news was important so would be broadcast around the subcontinent and
probably the world."
2016,Section A,Objective Resolution 1949,(c) Why did the victory of the Awami League in the 1970 elections in Pakistan cause a constitutional crisis?,7,"President Yahya Khan was not willing to allow the Awami League to take over
the National Assembly by forming a government. The Awami League had won a
landslide victory in East Pakistan and the National Assembly and was in a
position to form a government on its own. The future Prime Minister and the
entire cabinet could be formed from the Awami League. Even though Zulfikar Ali
Bhutto and the Pakistan People’s Party had won an overwhelming victory in
West Pakistan, it was likely it would have no role in the future government. The Awami League had won the election on a programme limiting the power of
central government over the provinces. The different areas of the country
wanted to have control over their foreign exchange earned from trade which
would subsequently reduce the funds to the central government in West
Pakistan."
2016,Section A,Fall of Dhaka 1971,(d) How successful have relations between Pakistan and Bangladesh been from 1971 to 1999? Explain your answer.,10,"In 1974 the Prime Minister Sheikh Mujib was invited to meeting of the
Organisation of Islamic Countries in Lahore. Pakistan agreed to officially
recognise Bangladesh. The countries agreed to view each other as Muslim
friends and to resolve their differences. In 1975/6 there was an exchange of
ambassadors and an agreement was reached to cooperate on trade, tourism
and the media. In 1986 trade between the two countries reached a value of $40
million. In 1985 and 1988 Pakistan was the first country to provide aid to
Bangladesh due to severe weather. Pakistan withdrew from Commonwealth and SEATO. Some non-Bengalis
reported facing persecution and deprivation in Bangladesh. In 1974 Zulfiqar Ali
Bhutto visited Bangladesh to discuss the redistribution of shared assets but
nothing was agreed. There was disagreement over the role of non-Bengalis in
Bangladesh."
2016,Section B,War of Independence 1857,2 (a) What happened at Cawnpore in 1857?,4,"Indian troops, led by Nana Sahib, rose up against the British, trapping their forces who
surrendered after 3 weeks. As they left, the British soldiers and 300 women and children
were killed the remainder were kept as prisoners and later killed. Later the British carried out
acts of revenge. Nana Sahib escaped. "
2016,Section B,Kashmir Dispute,(b) Explain the appeal of India to the East India Company during the early seventeenth century.,7,"Indian troops, led by Nana Sahib, rose up against the British, trapping their forces who
surrendered after 3 weeks. As they left, the British soldiers and 300 women and children
were killed the remainder were kept as prisoners and later killed. Later the British carried out
acts of revenge. Nana Sahib escaped. "
2016,Section B,General History,(c) Did Shah Waliullah contribute more to the spread of Islam than anyone else in the sub- continent before 1850? Explain your answer.,14,"Shah Waliullah: He felt that the Muslims faced many problems because of their level of knowledge about Islam and the Holy Quran. He encouraged them to concentrate on Quranic teachings and helped them by translating the Holy Quran into Persian which was the main language of the Muslims at that time.
His books were designed to spread the principles of Islam amongst Muslims.
Syed Ahmad: 
Spread Islam through the Jihad Movement, which was to become an armed
struggle to liberate the Punjab and the North West Frontier. It grew largely
because Muslims were banned from prayer and found it difficult to practise their
religion.
Haji Shariatullah: 
Spread Islam through the Faraizi Movement which encouraged Muslims to
perform their faraiz (religious obligations). This restored the pride in the
community. A huge group of followers grew called ‘Faraizis’.  "
2016,Section B,Kashmir Dispute,3 (a) What were the terms of the Indian Councils Act of 1909?,4,"Also known as the Morley-Minto Reforms of 1909. The Imperial Council increased to 60
members by adding more non-official members. The British retained control. The Central
Executive Council increased by 60 members and could discuss matters of importance and
advise on government policies including the budget. Provincial Councils also increased to 50
members in larger provinces and 30 members in smaller provinces. Muslim representatives
to the Councils to be elected by a separate Muslim-only electorate."
2016,Section B,Partition of Bengal,(b) Explain why the British partitioned Bengal in 1905.,7,"Of the 54 million people in Bengal, 42 million were Hindus. It seemed sensible
to divide up the province on religious grounds. It was a very large province that
created significant administrative difficulties. The British felt that partition of the
province would make it easier to administer, especially at the time of a new
British government in power. The Hindu community saw it as a policy of ‘Divide
and Rule’, an attempt by the British to work against them. "
2016,Section B,Kashmir Dispute,(c) Was the introduction of the Rowlatt Act in 1919 the sole cause of violence in India during 1919 and 1920? Explain your answer.,14,"The Rowlatt Act:
This caused uproar in India because it appeared to go against the central
principles of British justice: trial by jury and safeguards against illegal
imprisonment. The measures were seen as being repressive, especially as
people could be made to live in a particular place and were stopped from
attending meetings. Strikes and demonstrations took place and the British made matters worse by introducing further measures such as banning anti-British
publications.
The Amritsar massacre:
This occurred in 1919 when a large group of Indians were shot dead and
injured, including women and children, for holding an illegal meeting. Although
General Dyer was reprimanded for ordering the shooting, his standing in the
British media was enhanced which offended Indians and resulted in further
violence.
The Government of India Act:
This implemented the Montagu-Chelmsford reforms in 1919, retaining most of
the power in India with central government, at a time when Indians following
their efforts in the First World War had been expecting greater delegation of
power. These measures were opposed, in some cases violently, and a deep
mistrust of the British government grew. Fundamentalist groups grew during the
early 1920s increasing communal violence between Hindus and Muslims"
2016,Section B,General History,4 (a) What was the ‘One Unit’ Scheme?,4,"Iskander Mirza (Acting Governor-General) introduced it in 1955 to unify all of West Pakistan.
He claimed it would bring about greater efficiency and enable more rapid development. West
Pakistan politicians and administrators feared their influence may be challengedif they did
not do this, especially as there were 10 million more people in East Pakistan. By unifying
West Pakistan and making West Pakistan and East Pakistan official with equal
representation in the Assembly, the One Unit Scheme prevented East Pakistan from gaining
a majority in the Assembly. This was very unpopular in East Pakistan."
2016,Section B,General History,(b) Explain why Ayub Khan introduced Martial Law in 1958.,7,"There were a number of Prime Ministers between 1956 and 1958 and it
reached a stage when General Ayub Khan felt the army should take control to
restore stability. East Pakistan’s politicians wanted more say in the running of
the central government which increased tension. Iskander Mirza had lost the
support of many of the leading politicians and was alarmed at a plan by
Suharwardy to unite the political leadership of Bengal and Punjab against him.
Therefore he turned to Ayub Khan and the military for help."
2016,Section B,Independence and Partition,(c) How successful was Pakistan in solving the problems of Partition during 1947 and 1948? Explain your answer.,14,"The Quaid-e-Azam Relief Fund was created to help refugees. Quaid-e-Azam
toured the provinces encouraging and motivating the people. He appealed to
the people to help the refugees. He declared himself ‘Protector-General’ of religious minorities. The State Bank of Pakistan was set up. Karachi was made
capital of Pakistan. The Civil Services were re-organised. Pakistan joined the
United Nations and attempted to draw their attention to Kashmir issue. The Kashmir and other Princely States issues were not resolved. The Canal
Water Dispute was not resolved until 1959. Millions were made homeless or
died as a result of partition. "
2016,Section B,Zulfiqar Ali Bhutto,5 (a) Describe Zulfikar Ali Bhutto’s health reforms of 1972.,4,"Zulfikar Ali Bhutto introduced a health scheme in 1972 in which Rural Health Centres and
Basic Health Units in urban areas were to provide widespread healthcare. It expected to set
up 1 Rural Health Centre for every 60000 people and 1 Basic Health Unit for every 20000
people. Training colleges for doctors and nurses were expected to admit students on merit
and on qualification (after first year) they could be placed anywhere by the government. The
sale of branded medicines was banned in an attempt to reduce the cost of these and could
be purchased without prescription. However, the reforms were expensive and there was a
shortage of doctors and nurses. International drug companies closed down their operations
in Pakistan due to a lack of profits from unbranded medicines"
2016,Section B,Zia-ul-Haq and Islamization,(b) Why did Zia-ul-Haq find it difficult to rule Pakistan during the late 1980s?,7,"Zia-ul-Haq found difficulty in managing the breakdown of law and order.
Violence grew throughout the country with killings commonplace in cities such
as Karachi. Drug trafficking grew and there was an increase in levels of
corruption in society. The provinces became more difficult to administer. Sindh
had regular outbreaks of violence and there was a movement to break away
from Pakistan. The NWFP was also becoming more critical of the government.
The explosion at the arms dump at Camp Ojhri in 1988 led to Prime Minister
Junejo setting up an inquiry. Zia-ul-Haq could not tolerate this, so dismissed him
and dissolved the National Assembly. This led to a political crisis for Zia-ul-Haq."
2016,Section B,General History,(c) Was the Co-operative Societies scandal the most important reason why Nawaz Sharif fell from office in 1993? Explain your answer.,14,"Cooperative Societies scandal:
Mismanagement of the Societies led to loss of savings by millions of people.
Many of the Societies had granted huge loans to the Ittefaq Group this
damaged Nawaz Sharif’s reputation.
Kalashnikov culture:
There was easy availability of guns. There was crime, terrorism, kidnappings
and murder. There were issues associated with refugees from the SovietAfghan war. Drug addiction increased.
Economic measures:
Nawaz Sharif increased investment to provide jobs but few loans were repaid.
US aid ceased at the end of the Soviet-Afghan war.
BCCI scandal:
The collapse of BCCI bank in 1991 due to concerns about the bank’s lending
practices. Investors lost huge sums of money.
Shariat Bill:
There was some opposition to the increased role of religion in government.
Relations with President:
Nawaz Sharif disagreed with the President over the appointment of a new army
chief of staff and Eighth Amendment. "
2017,Section A,Kashmir Dispute,"(a) According to Source A, what difficulties did the Indian cotton industry face during the nineteenth century?",3,"Indian production of cotton goods was discouraged – in favour of British
industry.
Only allowed to grow raw cotton to supply British looms.
Skilled workers had to work in East India Company (EIC) factories.
EIC controlled Indian weaving production. Very high tariffs prevented Indian silk and cotton from entering Britain.
No duty on British goods reaching India. "
2017,Section A,Kashmir Dispute,(b) How does Source B help us to understand Indian concerns about the building of railways in India during the nineteenth century?,5,"It looks dangerous / unsafe to travel by rail due to the risk of derailment or
accident, which might cause injury and death.
Since railways were not built safely at first, accidents like these were
frequent in India.
Accidents like the one shown in the source made some people fear that
railways were dangerous. Some people also worried that the British were trying to change their way
of life."
2017,Section A,Kashmir Dispute,(c) Why did the British build railways in India during the nineteenth century?,7,"Railways transported raw materials easily/cheaply to the ports for export/
manufactured goods to be sold throughout India, increasing British profits.
Railways carried troops swiftly around India (helping the British to
maintain law and order and extend power).
 British could travel the country and spread their ideas / culture, gaining
support / to govern effectively.
In times of famine food could be transported quickly to affected areas.
To win support of Indians who found them useful for travel as families
were able to travel to visit relatives in other parts of India. "
2017,Section A,War of Independence 1857,(d) Was an absence of leadership the main reason why the War of Independence in 1857 failed? Explain your answer.,10,"No single leader e.g. Bhadur Shah was not accepted by most Hindus.
Many people at the time thought Bhadur Shah did not have strong
leadership skills and that he was more of a figurehead.
Bahadur Shah and the Rani of Jhansi worked alone, and neither would
support the other.
Lack of unity and common cause amongst the Indian population.
The Punjab was uninterested in helping the rebellion, sending men and
supplies to help the British.
Some of the Indian princes were more interested in restoring their own
powers and this often depended upon the support of the British. Muslims were more likely to oppose the British in the war but there was
not a sense of unity with Sikhs and Hindus who were less likely to support
them in their cause.
A series of uprisings against the British, the Indians were not as
coordinated or strong so the British overcame them.
The British had modern methods of fighting.
The British army was well disciplined and supplied by some of the local
rulers.
The British used diplomatic as well as military mechanisms to limit the
extent of the conflict. "
2017,Section B,General History,2 (a) Who were zamindars?,4,"Landlords/tax collectors.
Wealthy and influential, some had private armies.
After death of Aurangzeb they were increasingly unwilling to accept rule of
any new emperor or to make payments to government in Delhi.
Beard tax imposed which annoyed Muslims.
Muslims were oppressed by zamindars from the 1800’s onwards,
especially in East Bengal. "
2017,Section B,General History,(b) Why was Robert Clive appointed the first Governor of Bengal?,7,"Clive commanded the British army to victory at the battle of Plassey in
1757 and established relations with Mir Jafar.
The battle increased Clive’s reputation and his importance to the East
India Company (EIC) because he became the foremost commander of
British forces in India.
The battle was also a success for the EIC because they now controlled
the profitable trade in Bengal.
As a reward for being considered responsible for the EIC amassing
immense fortunes, especially in Bengal
Clive’s reputation and importance was further enhanced by his success at
the battle of Buxar in 1764 which increased British control of eastern
India. "
2017,Section B,Mughal Empire,(c) Was the in-fighting between Aurangzeb’s successors the most important reason for the break‑up of the Mughal Empire? Explain your answer.,14,"The absence of a definite line of succession led to in-fighting, instability
and the downfall of the Mughal Empire.
Led to inefficiencies and a lack of interest in the running of the Mughal
Empire. As the Mughal Empire started to decline it became at risk from invasion.
After Aurangzeb’s death, Mughal emperors were renowned for living an
extravagant lifestyle and spending money without considering the effect
on the economy of the Empire.
The Afghans under the leadership of Ahmad Shah Abdali defeated the
Marathas at Paniplat. The Afghans had been in control of much of the
Empire for some time but were unable to make the most of their victory
and returned to Kabul. However they did invade the Empire a number of
times during the 18th Century.
The Persians under Nadir Shah captured much of the Empire’s wealth
and returned home with gold, jewels and the Peacock throne from Delhi.
Aurangzeb often showed intolerance to non-Muslims. He introduced a tax
on non-Muslims called the Jizya. During Aurangzeb’s reign, some Hindu
temples were destroyed and some limits were placed on Hindu practices.
Taxation was high as because of the costs of military campaigns such as
the Deccan Wars and building luxurious palaces. Because of these he
became an unpopular ruler.
Maratha guerrilla fighters defeated a Mughal army in 1737 and took
control of Delhi and eastwards towards Bengal. By 1760 they were the
most powerful group in India and the Mughals were unable to limit their
expansion.
The British expansion into the subcontinent was rapid, overwhelming the
Mughal forces and equipment."
2017,Section B,General History,3 (a) How did the name ‘Pakistan’ originate?,4,"Chaudhry Rehmat Ali devised the name.
Stated in pamphlet ‘Now or Never’ in 1933.
By end of the year most Muslims within India knew the name and its
importance.
Punjab, Afghania (NWFP), Kashmir, Sindh and Balochistan.
Muslim League thought his ideas were impractical and ignored by Jinnah."
2017,Section B,General History,(b) Why was the Second Round Table Conference of 1931 unsuccessful?,7,"Gandhi did not accept that the 14 Points of the Quaid-e-Azam should be
included in future discussions.
Gandhi did not accept the demands about the rights of minorities.
The Conference was unsuccessful because Gandhi refused to recognise
the rights of the Muslim."
2017,Section B,Mughal Empire,(c) Was the withdrawal of Gandhi’s support the most important reason for the decline of the Khilafat Movement? Explain your answer.,14,"Gandhi saw an opportunity for self-rule by joining the Movement, the
involvement of a Hindu-majority grouping was welcomed by many
Muslims.
By joining with a Hindu-majority grouping the objectives of the Movement
were made less clear. Some perceived that Gandhi and some Hindus and
used it for their own political reasons.
Chauri Chaura was a village in the United Province where trouble started
between the police and a mob. Gandhi decided that the Swaraj Movement
was becoming too violent following the Chauri Chaura incident and so
withdrew his support.
Other reasons
Thousands of Muslims migrated to Afghanistan in a religious protest
against the British government. The Afghan government was hostile to the
migrants and refused to allow all the refugees to settle.
Many of the refugees who returned to India died on the journey back or
found themselves homeless and their jobs occupied which dispirited them.
Some of the leaders including Maulana and Muhammad Ali were
imprisoned in 1921 which made the organisation less effective.
The refusal of Britain to accept the demands of the Movement.
The decision of the Mustafa Kamal Ataturk to form a nationalist
government in Turkey ended most of the impetus for the Khalifat
movement, which had previously served as a unifying force for Muslims.
Mopla violence divided Muslims. "
2017,Section B,General History,4 (a) What were the Basic Democracies?,4,"In 1959 local committees were named Basic Democrats (BD).
80 000 BD’s.
No political parties to take place in the elections held December 1959 to
January 1960.
Newly elected BD’s able to vote in referendum on Ayub Khan remaining
President, 95% voted yes. "
2017,Section B,Zulfiqar Ali Bhutto,(b) Explain why Zulfikar Ali Bhutto’s rule ended in 1977.,7,"The focal point of political power lay with the party leadership and with
Bhutto in particular, so when things went wrong he was blamed.
The changes in education were criticised as they led to overcrowding in
existing schools whilst new ones were built/the building of new schools/
the recruitment of new teachers could not be achieved quickly/was very
expensive.
Many families resented the educational reforms because it meant a loss
of earnings for them.
Opponents alleged that Bhutto and his party manipulated the election in
March 1977, which led to protests that were put down by the police.
Martial law was imposed in Karachi, Lahore and Hyderabad and strikes by
bus and truck drivers in Karachi (Operation Wheel Jam), caused further
problems for Bhutto.
During Bhutto’s time in office the economy declined which contributed to
unrest and reduced support for his government."
2017,Section B,General History,(c) Which of the following contributed the most to Pakistan’s domestic policies between 1948 and 1958?,14,"Khwaja Nazimuddin:
1948 made 2nd Governor General, appointed Liaquat Ali Khan Prime
Minister.
Made Objectives Resolution in 1949. It focussed on the principles of Islam
and human rights. Designed to deflect criticism from religious leaders who
wanted the new state to be more Islamic.
Drafted a constitution, which attracted much criticism as it was seen by
many as being insufficiently Islamic.
Kept the economy going and produced surplus budgets for the new state.
Malik Ghulam Muhammad:
As 3rd Governor General responsible for the Six Year Plan for agriculture,
power, industry and transport. It was important to the economic
development of Pakistan.
Severe problems hampered development such as food shortages and
drought. Rioting followed and the government found it challenging to
overcome these issues, leading to many personnel changes. Little
constitutional development could take place because of these challenges.
He resigned in 1955 due to ill health.
Iskander Mirza:
Became acting Governor General in 1955.
Introduced the One Unit policy in 1955, which he claimed would bring
about greater efficiency and development in West Pakistan. The policy
meant that East Pakistan could not gain a majority in the Assembly.
Introduced the new Constitution in 1956, under which he was able to
become President.
He suspended the Constitution in 1958 and declared Martial Law.
His rule became unpopular and lost the support of many leading politicians.
He declared Martial Law but was forced to resign by Ayub Khan in 1958"
2017,Section B,General History,(a) What was SEATO?,4,"1955 South East Asia Treaty Organisation.
Also included USA and Britain.
Sometimes called Manila Pact in Pakistan.
Joined in 1955. Withdrew in 1972.
Aimed to resist Communist expansion.
Pakistan surprised other Muslim countries by being so closely allied with
USA. "
2017,Section B,General History,(b) Why did being a nuclear power create difficulties for Pakistan in the 1980s and 1990s?,7,"US diplomats expressed concern that Pakistan may have nuclear
weapons, and would not give aid to Pakistan, stating Pakistan was in
contravention of the 1985 Pressler Amendment. The USA had promised
$4 million in an economic package to help Pakistan to refurbish their
military forces.
The reduction in aid seriously affected Pakistan. In particular, the delivery
of 28 F-16 fighter jets in which weakened Pakistan’s relationship with
USA.
The Pakistan government expressed concerns about the status of India
as a nuclear power. "
